Timestamp,Close,Open,High,Low,Volume
2020-07-01,15.81,15.4,15.88,15.34,2580000.0
2020-06-30,15.4,15.46,15.54,15.25,2180000.0
2020-06-29,15.46,15.38,15.59,15.21,2660000.0
2020-06-28,15.39,15.13,15.49,14.93,2930000.0
2020-06-27,15.13,15.77,15.87,14.85,2550000.0
2020-06-26,15.77,15.91,15.99,15.58,2050000.0
2020-06-25,15.91,16.0,16.08,15.51,2080000.0
2020-06-24,16.0,16.39,16.64,15.98,2490000.0
2020-06-23,16.39,16.5,16.54,16.27,2480000.0
2020-06-22,16.5,15.97,16.52,15.96,2940000.0
2020-06-21,15.97,16.06,16.31,15.94,2300000.0
2020-06-20,16.06,15.97,16.09,15.72,2420000.0
2020-06-19,15.98,16.15,16.28,15.91,2320000.0
2020-06-18,16.15,16.4,16.53,15.91,2480000.0
2020-06-17,16.4,16.43,16.62,16.01,2660000.0
2020-06-16,16.43,16.38,16.62,16.16,3000000.0
2020-06-15,16.38,16.56,16.6,15.54,2880000.0
2020-06-14,16.56,16.81,16.84,16.43,3140000.0
2020-06-13,16.81,16.64,16.81,16.49,3570000.0
2020-06-12,16.64,16.23,16.78,16.1,3420000.0
2020-06-11,16.23,17.39,17.49,15.98,3250000.0
2020-06-10,17.39,17.37,17.57,17.25,3290000.0
2020-06-09,17.37,17.43,17.51,17.12,3020000.0
2020-06-08,17.43,17.42,17.54,17.26,3050000.0
2020-06-07,17.42,17.56,17.64,16.91,3350000.0
2020-06-06,17.56,17.7,17.79,17.51,3740000.0
2020-06-05,17.7,17.52,17.89,17.45,4210000.0
2020-06-04,17.52,17.56,17.67,17.08,3990000.0
2020-06-03,17.56,17.28,17.62,17.04,4480000.0
2020-06-02,17.28,17.92,18.19,16.78,4460000.0
2020-06-01,17.92,17.1,18.08,16.99,5280000.0
2020-05-31,17.11,17.73,18.16,16.87,4770000.0
2020-05-30,17.73,17.0,17.78,16.94,5420000.0
2020-05-29,17.0,17.08,17.18,16.68,4860000.0
2020-05-28,17.08,16.46,17.14,16.39,5320000.0
2020-05-27,16.46,16.22,16.5,16.16,5010000.0
2020-05-26,16.22,16.38,16.49,15.97,4380000.0
2020-05-25,16.38,15.98,16.4,15.87,5080000.0
2020-05-24,16.01,16.47,16.79,16.01,4920000.0
2020-05-23,16.47,16.59,16.84,16.33,4930000.0
2020-05-22,16.59,16.08,16.89,15.92,5330000.0
2020-05-21,16.09,16.9,17.05,15.76,4810000.0
2020-05-20,16.9,17.2,17.33,16.55,5210000.0
2020-05-19,17.2,16.63,17.23,16.31,6670000.0
2020-05-18,16.63,16.29,16.87,16.2,6390000.0
2020-05-17,16.29,16.05,16.51,16.0,5490000.0
2020-05-16,16.05,15.71,16.27,15.58,6450000.0
2020-05-15,15.71,16.36,16.53,15.56,6040000.0
2020-05-14,16.39,16.12,16.64,15.28,7310000.0
2020-05-13,16.11,15.76,16.31,14.97,6710000.0
2020-05-12,15.76,15.09,16.23,14.21,7370000.0
2020-05-11,15.12,15.28,15.56,14.05,8350000.0
2020-05-10,15.28,16.81,16.81,14.03,9580000.0
2020-05-09,16.81,17.14,17.49,16.81,6060000.0
2020-05-08,17.14,16.99,17.43,16.83,5510000.0
2020-05-07,17.0,16.37,17.24,16.2,6910000.0
2020-05-06,16.37,16.86,17.14,16.34,5720000.0
2020-05-05,16.86,17.02,17.31,16.58,5690000.0
2020-05-04,17.02,17.11,17.3,16.31,5970000.0
2020-05-03,17.11,17.52,17.81,16.86,5640000.0
2020-05-02,17.51,17.44,17.58,17.27,6120000.0
2020-05-01,17.44,17.0,17.9,16.91,7220000.0
2020-04-30,17.0,17.44,18.2,16.49,8820000.0
2020-04-29,17.43,16.32,17.54,16.28,8180000.0
2020-04-28,16.32,16.49,16.54,16.14,6130000.0
